player_name,runs,balls,wickets,boundaries,strike_rate,id_cricinfo
AM Healey,150,435,14,17,34.48,1190576
SR McAnanama-Brereton,64,209,11,0,30.62,1190588
JE Ronalds,622,844,12,41,73.7,1190587
CM Gough,1027,1370,24,90,74.96,746839
AS van Beuge,26,246,10,0,10.57,1146665
K Vijayaraghavan,155,235,0,6,65.96,1190578
PA Wadenpohl,46,123,1,0,37.4,1190580
A Bierwisch,176,382,8,4,46.07,1190581
V Stolle,29,35,0,1,82.86,1190579
MS Beresford,95,418,20,1,22.73,1190586
CM Scott,9,18,0,0,50.0,1184172
K Fraser,135,838,45,7,16.11,1146661
O Prendergast,1296,1803,37,148,71.88,1150585
L Paul,344,875,28,21,39.31,1026403
EN Lynch,177,905,42,11,19.56,1148032
F Overdijk,229,683,31,8,33.53,1185796
H Little,9,47,0,0,19.15,1196961
FEM Van Arkel,5,13,0,0,38.46,1184106
AH Thomson,34,65,0,1,52.31,774353
A Aitken-Drummond,176,291,5,17,60.48,306201
LK Bennett,25,132,7,1,18.94,526975
EL Watson,118,160,0,8,73.75,1097998
A Hogg,0,12,0,0,0.0,1197240
M Zwilling,14,70,5,0,20.0,1196960
R Rohan,395,382,0,48,103.4,775015
Mohammed Awais,23,102,2,1,22.55,1058212
S Chandramohan,1134,903,0,143,125.58,1098903
Nouman Sarwar,113,142,7,12,79.58,1058211
Inam-ul-Haq,84,135,2,11,62.22,1058210
Tamoor Sajjad,179,271,4,18,66.05,307619
TH David,1228,908,6,162,135.24,892749
Mohammed Nadeem,13,323,21,0,4.02,1058213
Iqbal Hussain,60,232,24,5,25.86,307617
CR Suryawanshi,8,21,1,0,38.1,318713
Janak Prakash,641,1295,52,51,49.5,973799
A Krishna,40,296,18,4,13.51,775019
AE Paraam,325,398,8,42,81.66,307692
V Baskaran,84,677,28,1,12.41,1195245
Faisal Javed,55,27,0,11,203.7,40123
Kamran Khan,333,239,0,51,139.33,391121
Amjad Mahboob,80,596,36,3,13.42,554068
S Vijayakumar,3,173,12,0,1.73,746453
Muhammad Tanveer,873,797,8,111,109.54,1093669
Mohammad Rizlan,282,221,0,35,127.6,492679
Zaheer Ibrahim,36,45,0,5,80.0,319752
Muhammad Kashif,185,226,4,21,81.86,1093661
Ilyas Ahmed,47,338,17,1,13.91,1192939
Mohammad Ahsan,15,69,4,1,21.74,362686
Adnan Idrees,378,703,28,58,53.77,307817
Nawaf Ahmed,22,112,4,2,19.64,1195194
MNM Aslam,612,1630,64,61,37.55,359649
Shiraz Khan,381,1231,46,27,30.95,1192940
Pavandeep Singh,125,1477,80,0,8.46,633641
R Sandaruwan,1353,931,0,182,145.33,429809
S Varathappan,10,11,0,2,90.91,1192937
Usman Waheed,47,40,0,5,117.5,625872
Bilal Tahir,561,445,3,66,126.07,796255
S Vesawkar,322,334,0,32,96.41,25977
Meet Bhavsar,1244,973,1,139,127.85,1167770
Jandu Hamoud,14,38,2,0,36.84,796265
Gayan Munaweera,86,400,22,8,21.5,1143525
Musawar Shah,10,189,14,0,5.29,1193404
Qalandar Khan,25,17,0,3,147.06,1058207
Waheed Ahmed,144,298,8,15,48.32,950309
TS Braat,38,120,6,5,31.67,348095
PRP Boissevain,10,154,6,0,6.49,1036197
VJ Kingma,75,482,21,0,15.56,416103
Qadeer Ahmed,24,184,8,1,13.04,941959
AJ Staal,112,79,0,14,141.77,470909
Zawar Farid,180,295,7,19,61.02,1196500
HC Overdijk,1,13,1,0,7.69,471045
DDP D'Silva,95,111,0,5,85.59,1126694
TD Astle,8,89,7,0,8.99,213674
LD Madushanka,26,55,0,1,47.27,428366
HD Rutherford,155,107,0,21,144.86,331375
Naveen-ul-Haq,108,994,66,6,10.87,793447
Rahmanullah Gurbaz,1767,1276,0,221,138.48,974087
Ibrahim Zadran,1170,1056,0,121,110.8,921509
K Abdulquadri,89,152,0,3,58.55,1199585
D Igihozo,1,25,1,0,4.0,1199591
F Eseigbe,171,611,11,8,27.99,1172330
S Sunday,455,474,1,55,95.99,1199586
S Ingabire,90,311,10,0,28.94,1172641
Shaila Sharmin,17,71,2,0,23.94,581029
K Oala,75,141,4,8,53.19,1034887
MP Enright,23,67,0,0,34.33,1119570
AG Rao,7,98,5,0,7.14,538598
N Ila,3,3,0,0,100.0,1198719
Taijul Islam,3,46,1,0,6.52,401057
A Ndlovu,41,259,4,4,15.83,596456
RW Chakabva,757,579,0,86,130.74,293831
Nazmul Hossain Shanto,1034,943,0,106,109.65,629058
Fazal Niazai,14,22,0,1,63.64,533949
Seungmin Song,77,201,3,5,38.31,779249
Seri Chang,53,173,2,0,30.64,1121140
Jiyeon Park,39,154,3,2,25.32,1121136
Mina Baek,46,109,3,2,42.2,1121142
Haliam Kwon,25,73,0,0,34.25,1121137
Hyejin Park,34,85,2,2,40.0,1121141
Su Jin Kim,14,35,0,1,40.0,1121133
Kiyo Fujikawa,10,96,2,0,10.42,1201046
Kang Choi,18,36,0,0,50.0,1121138
Shanzeen Shahzad,465,615,0,34,75.61,587497
Sun Meng Yao,141,188,0,7,75.0,301140
Hiu Ying Cheung,76,97,0,5,78.35,1171444
Sinae Kim,21,51,0,2,41.18,1121143
Hee Jung Lee,2,9,0,0,22.22,1121145
Jiyeon Park (2),4,9,0,0,44.44,1121139
WK Lai,73,208,11,2,35.1,587501
O Bascome,152,146,0,19,104.11,364150
KS Leverock,774,915,25,102,84.59,364148
TS Fray,240,269,0,25,89.22,307231
DMW Rawlins,787,990,26,103,79.49,630174
CJ Gannon,17,66,4,1,25.76,326635
AC Douglas,353,363,12,51,97.25,679551
TP Allen,33,37,1,3,89.19,378282
OGL Bascome,136,210,8,18,64.76,649015
NK Patel,141,500,29,11,28.2,532247
MO Jones,111,386,15,4,28.76,257574
DAP Darrell,83,89,0,6,93.26,334250
JE Pitcher,21,104,3,0,20.19,379301
GH O'Brien,63,233,10,2,27.04,247008
RJ Trott,42,337,16,3,12.46,267454
RA Thomas,77,93,0,8,82.8,1159654
C Wright,57,307,15,2,18.57,252878
NS Dhaliwal,967,792,4,116,122.1,817069
KR Ebanks,24,100,1,1,24.0,379536
AF Ifill,113,430,16,6,26.28,333035
NR Kumar,741,737,6,76,100.54,348129
T Taylor,111,294,8,8,37.76,217528
Ravinderpal Singh,631,420,2,75,150.24,1159653
A Morris,6,246,12,0,2.44,379537
YSD Seneveratne,189,219,0,24,86.3,307195
P Manning,158,320,5,11,49.38,1197882
Rizwan Cheema,165,304,5,20,54.28,361952
Hamza Tariq,215,151,0,23,142.38,414397
D Heyliger,431,1027,46,46,41.97,1061467
N Dutta,113,526,24,10,21.48,348135
C Hauptfleisch,79,90,0,6,87.78,314984
Junaid Siddiqui,72,465,16,4,15.48,494847
D Cato,41,61,0,2,67.21,307226
GDR Eranga,22,185,10,0,11.89,320520
OR Willis,28,43,0,1,65.12,379539
GM Strydom,103,93,0,11,110.75,55782
Saad Bin Zafar,441,1273,58,46,34.64,359746
DL Brangman,47,322,23,3,14.6,679553
A Gavde,1,6,0,0,16.67,1197883
LHB Harrington-Myers,35,66,2,2,53.03,1193255
K Gore,58,159,11,6,36.48,1139028
Z McLaughlin,7,59,2,0,11.86,414002
S Sohal,25,30,0,2,83.33,228943
Abraash Khan,66,60,0,8,110.0,650561
H Thaker,454,872,29,42,52.06,914503
MR Montfort,7,23,2,0,30.43,1097574
DC Stovell,51,180,6,5,28.33,474648
D Kegasitswe,13,90,3,0,14.44,637489
B Khumalo,32,174,6,0,18.39,1155576
CG Williams,803,878,9,83,91.46,316102
Ameer Saiyed,163,245,4,16,66.53,628236
H Pragji,39,65,0,1,60.0,1089939
HN Ya France,40,215,7,3,18.6,308410
B Shikongo,42,538,31,0,7.81,1069820
V Mbazo,201,227,0,18,88.55,1107683
P Silas,217,214,0,15,101.4,1107687
JP Kotze,880,715,0,118,123.08,541991
L Louwrens,18,16,0,2,112.5,827023
CN Ackermann,488,629,7,45,77.58,379774
HT Tector,1481,1352,7,143,109.54,961407
Suraj Kumar,120,104,0,13,115.38,1156690
Ahsan Abbasi,64,70,0,7,91.43,348147
KD Shah,746,1067,14,72,69.92,401537
A Bhagwat,2,9,0,0,22.22,1134974
Raag Kapur,15,91,4,1,16.48,919539
Aarif Sheikh,488,537,5,53,90.88,701217
K Christie,32,243,10,0,13.17,1063728
Nasrulla Rana,244,734,32,19,33.24,1058924
Mohammad Ghazanfar,53,540,26,2,9.81,633428
Haroon Arshad,430,807,32,35,53.28,1068983
SS McKechnie,296,287,0,23,103.14,459752
I Pandey,39,54,0,5,72.22,960363
S Bhari,4,159,8,0,2.52,633525
GK Diviya,508,1444,35,31,35.18,301718
H Dhavina,50,390,11,0,12.82,1116791
T Wang Ling,9,28,0,0,32.14,1116793
RR Seth,383,584,2,29,65.58,1174312
Smruthi Radhakrishnan,19,100,1,0,19.0,1050049
Shafia Hassan,19,82,3,0,23.17,1174313
Samantha Singham,2,9,0,0,22.22,1050047
V Pasupathy,19,49,0,1,38.78,301722
Shafina Mahesh,325,857,20,22,37.92,1050043
PSR Gurusinghe,199,334,0,8,59.58,1181181
R Butler,64,62,0,7,103.23,1174310
SK Sonpethkar,8,36,1,0,22.22,1181180
Nik Nur Atiela,54,418,28,1,12.92,1174326
Vathana Sreemurugavel,71,140,0,4,50.71,1050045
JR Hazlewood,117,1259,69,3,9.29,288284
Haris Rauf,218,1692,111,11,12.88,1161606
Haider Ali,532,417,0,65,127.58,1168651
SS Grimmond,107,321,11,9,33.33,909779
S Gajnabi,257,474,3,20,54.22,1199630
A Bosch,932,984,8,111,94.72,482506
M Bhanuka,71,71,0,7,100.0,629075
Aritra Dutta,621,435,0,84,142.76,772311
TB Sole,74,147,4,10,50.34,526492
NMS Param,275,259,2,28,106.18,452540
Sidhant Singh,204,294,7,21,69.39,1048901
OJ Hairs,473,286,1,71,165.38,414973
DC Delany,11,157,8,0,7.01,1094085
Simandeep Singh,35,33,0,2,106.06,633410
JS Kundi,104,139,0,12,74.82,1107663
Junaid Siddique,374,1462,71,29,25.58,55946
JJ Tucker,105,145,1,12,72.41,23694
R Hekure,106,417,12,8,25.42,646193
H Carlyon,613,761,15,79,80.55,1062706
AS Abioye,1,49,3,0,2.04,1013219
D Ajekun,392,559,4,32,70.13,637529
NA Greenwood,829,810,15,102,102.35,1181708
JO Adedeji,719,1011,8,70,71.12,623893
Sulaimon Runsewe,711,673,2,70,105.65,1089932
NR Kirton,596,516,1,56,115.5,820685
JOA Gordon,51,369,22,0,13.82,276370
RN Patel,835,760,7,100,109.87,473378
D Gim,79,164,3,1,48.17,637523
AAhan Achar,3,80,6,0,3.75,973793
R Gaznavi,144,180,0,12,80.0,307775
AR Gandhi,88,99,0,6,88.89,1107657
OO Bascome,31,30,0,3,103.33,279531
Avi Dixit,105,180,5,7,58.33,1048897
SA Wijeratne,278,224,0,40,124.11,300624
U Aryaman Sunil,253,584,16,23,43.32,1048891
EB Ringera,48,501,27,1,9.58,475816
Gershon Yusuf,0,1,0,0,0.0,1204052
C Floyd,27,91,2,3,29.67,1200616
Vikramjit Singh,343,338,4,43,101.48,1153767
Tariq Aziz,41,116,6,2,35.34,43317
Raja Adeel,60,566,39,0,10.6,937669
Zohaib Sarwar,108,219,7,8,49.32,1156631
Aamer Ikram,60,72,0,7,83.33,1204633
Arslan Ahmed,13,31,0,1,41.94,1156630
R Panchal,157,303,2,7,51.82,469191
Farzan Afzal,142,198,4,14,71.72,1046635
Mian Mehmood,29,33,0,2,87.88,1156625
Kuldeep Lal,33,60,2,3,55.0,1046643
P Buccimazza,8,82,3,0,9.76,520282
TC Vine,13,106,5,0,12.26,469188
Najjam Shahzad,392,650,22,41,60.31,1204631
F Stoman,166,432,13,9,38.43,1204644
Atif Mehmood,101,518,25,4,19.5,1046645
Yasir Ali,705,1192,46,63,59.14,1156622
Imran Khan,87,296,9,8,29.39,40560
Fakhrul Mohon,19,117,3,1,16.24,1204636
PD Hennessy,153,192,3,10,79.69,1156621
Ali Naqi,6,41,0,0,14.63,1204642
BA Pai,1049,1538,32,93,68.21,1046619
CJ Delany,238,240,0,23,99.17,1156443
E Packard,69,174,2,4,39.66,1204626
MO Bacarese,38,106,1,1,35.85,403318
JD Freyone,119,146,0,10,81.51,467823
MG Hunter,40,96,3,2,41.67,469049
K Nestor,280,487,8,26,57.49,1204627
LA Collado,20,28,0,1,71.43,572235
RJ Hatchman,139,278,5,10,50.0,1156444
J Perman,61,163,6,6,37.42,1153793
C Munoz-Mills,279,194,0,33,143.81,520120
Awais Ahmed,253,224,0,34,112.95,1046637
Tauqeer Hussain,14,62,7,0,22.58,43365
NH Naureen,0,18,3,0,0.0,1153801
S Singh,544,509,0,63,106.88,1204648
Zulqarnain Haider,38,133,7,1,28.57,43860
N Advani,6,65,5,0,9.23,1204628
JA Fitzgerald,368,573,13,29,64.22,1156724
MD Garratt,10,69,2,0,14.49,1156440
A Orfila,12,88,2,0,13.64,1046617
Kushal Malla,977,1022,23,113,95.6,1141934
BB Chari,22,31,0,4,70.97,427178
R Ngarava,217,1417,78,8,15.31,806241
T Munyonga,178,263,3,11,67.68,1122853
D Jakiel,109,419,23,5,26.01,1175831
WT Mashinge,7,35,1,0,20.0,806233
Muhammad Wafiq,98,648,26,3,15.12,568452
PK Matautaava,418,648,21,46,64.51,352286
Mohamed Arief,255,212,0,31,120.28,1150884
Zubaidi Zulkifle,996,691,0,141,144.14,913847
Ainool Haqqiem,23,21,0,1,109.52,871315
Syazrul Idrus,93,547,42,7,17.0,402140
Ainool Hafizs,169,170,0,12,99.41,701227
AL Stephen,43,331,17,0,12.99,524281
T Langa,14,9,0,2,155.56,302700
R Shepherd,581,1257,57,55,46.22,677077
D Klein,191,668,30,15,28.59,339095
SVE Bharathi,49,730,46,0,6.71,1218731
Vinod Kumar,3,4,0,0,75.0,1179426
T Jamtsho,435,552,6,50,78.8,387041
S Tobgay,45,83,0,1,54.22,387032
T Singye,30,66,1,2,45.45,1093648
K Dorji,6,46,2,0,13.04,1208994
J Singye,214,464,10,8,46.12,387026
J Thinley,0,18,0,0,0.0,1208992
Tenzin Wangchuk jnr,10,18,0,2,55.56,1093863
RM Dorji,268,402,8,27,66.67,1161443
U Dorji,16,17,0,2,94.12,542370
S Chophel,11,18,0,0,61.11,1208993
L Shafeeg,74,391,17,4,18.93,522765
Ibrahim Rizan,145,720,30,7,20.14,1143567
Ali Ivan,14,40,0,0,35.0,1167825
Mohamed Azzam,257,325,0,15,79.08,552760
K Nima,2,21,1,0,9.52,1161440
K Loday,1,1,0,0,100.0,1208997
Azyan Farhath,801,1137,20,64,70.45,1142981
Nazwan Ismail,27,132,7,0,20.45,1209007
Hamza Niyaz,12,29,0,2,41.38,1208768
Sajaa Fathimath,6,34,0,0,17.65,1208765
SC Kumari,7,110,8,0,6.36,779625
Sumayya Abdul,52,186,0,5,27.96,1208764
Zoona Mariyam,1,40,0,0,2.5,1208762
Hafsaa Abdhulla,17,39,0,3,43.59,1208763
Anjali Chand,1,46,10,0,2.17,779619
Latsha Haleemath,31,123,2,3,25.2,1208766
Shaffaa Saleem,0,2,0,0,0.0,1208771
Aima Aishath,8,30,0,0,26.67,1208774
Eashal Ibrahim,14,70,0,0,20.0,1208770
Kinaanath Ismail,3,42,0,0,7.14,1208773
Shamma Ali,27,136,5,0,19.85,1208769
Rabeya Khan,104,783,35,5,13.28,1204964
P Chakraborty,0,12,1,0,0.0,1208916
S Khatiwada,0,12,1,0,0.0,1203431
Maaha Naseer,0,24,0,0,0.0,1208776
Ahsan Ali,37,39,0,4,94.87,348146
CT Mumba,59,177,5,5,33.33,672775
W Madhevere,1269,1453,16,146,87.34,938959
TS Kamunhukamwe,337,299,0,39,112.71,713811
Hasan Mahmud,33,402,18,0,8.21,926629
CK Tshuma,1,7,0,0,14.29,959823
Y Verma,36,130,2,2,27.69,1213633
S Nair,22,148,6,0,14.86,1213624
B Shetty,103,357,9,4,28.85,1213635
PE Mendonca,216,460,10,17,46.96,1213630
AR Shetty,24,62,1,0,38.71,1213632
SV Shetty,240,263,0,22,91.25,1213623
Fiza,267,336,0,23,79.46,1213626
V Jesrani,99,196,0,1,50.51,1213622
Javed Hira,83,76,0,6,109.21,1213628
Sameera Khan,33,213,6,0,15.49,1213629
S Meyenborg,8,48,5,0,16.67,1190582
Javed Hina,94,132,0,7,71.21,1213627
A Doddaballapur,437,954,40,22,45.81,1190574
N Jagadish,34,128,4,1,26.56,1213631
AL Tiwari,7,18,0,0,38.89,1213634
Sani E Zehra,8,50,1,0,16.0,1213625
BV Save,16,17,0,3,94.12,1212655
Mohsin Khan,3,56,5,0,5.36,919535
Aftab Hussain,27,246,17,1,10.98,1059925
Khizar Hayat,299,1030,44,20,29.03,580400
Hamed Khan,30,43,0,2,69.77,923369
Hassan Khan Mohammad,5,26,0,0,19.23,1058795
D Mogan,3,81,1,0,3.7,633647
IGTR Kumara,7,24,0,0,29.17,1190202
Ahmed Raid,0,12,0,0,0.0,1167831
Adil Butt,145,231,10,21,62.77,1217293
Ansh Tandon,36,35,0,4,102.86,1058990
Shoaib Ali,1,25,1,0,4.0,436997
A Sharafu,695,490,0,95,141.84,1161038
Usman Ali,0,18,0,0,0.0,1143517
Faisal Khan,720,541,4,112,133.09,794749
Abdul Wahid,99,120,8,12,82.5,1172281
Abdul Waheed,551,488,5,76,112.91,402106
V Aravind,1059,928,0,122,114.12,1178586
Mohammad Ayaz,9,15,0,0,60.0,316400
Shamsudheen Purat,23,22,0,4,104.55,1172236
Sajid Cheema,43,43,0,3,100.0,1143520
Muhammad Naeem,28,23,0,2,121.74,1172140
Khawar Zafar,5,3,0,1,166.67,1217295
Imran Anwar,753,1248,44,90,60.34,1143529
Imran Butt,19,55,3,2,34.55,1122396
I Liyanage,458,388,0,60,118.04,429668
Sarfaraz Ali,807,1151,34,117,70.11,1172124
Anasim Khan,41,139,6,6,29.5,554063
Abdul Majid,11,129,5,0,8.53,1217275
Khurram Shahzad,2,12,0,0,16.67,1093668
Muhammad Younis,153,150,0,20,102.0,1217471
Mohammed Sameer,41,32,0,7,128.12,452571
Imran Ali Butt,462,434,0,48,106.45,1093638
Ammad Uddin,61,45,0,9,135.56,1172123
Fiaz Ahmed,54,55,0,5,98.18,1143528
Masood Jayezeh,2,11,0,0,18.18,492698
DK Dahani,5,4,0,1,125.0,1217276
Yousef Shadzehisarjou,46,50,0,4,92.0,1217278
Sayed Monib,317,756,46,33,41.93,1217359
Ali Mohammadipour,20,14,0,4,142.86,492696
UKPW Kumaranayaka,6,62,1,0,9.68,1172132
Arshad Mazarzei,1,11,0,0,9.09,1217277
Naiem Bameri,10,34,1,0,29.41,492699
Mehran Siasar,0,3,0,0,0.0,1217284
Nader Zahadiafzal,0,21,0,0,0.0,1217279
Navid Balouch,21,35,0,1,60.0,1217280
Mohammad Amin,75,88,1,6,85.23,455469
Emran Shahbakhsh,4,8,0,0,50.0,1217287
Usman Patel,937,703,0,121,133.29,1217288
Navid Abdollahpour,4,20,1,0,20.0,1217283
Junaid Aziz,347,431,15,42,80.51,1093632
Aphsal Ashraf,49,49,2,6,100.0,1217290
Muhammad Ansar,2,38,3,0,5.26,1217289
Basil Hameed,791,1115,38,76,70.94,1209110
Qais Ahmad,48,228,16,5,21.05,914171
W Uisuk,19,67,0,1,28.36,307733
N Senamontree,84,623,33,1,13.48,307745
S Desungnoen,106,214,2,10,49.53,1217807
K Subramanian,1,25,3,0,4.0,1156686
Robert Raina,127,272,17,16,46.69,492706
P Suanchuai,117,173,0,8,67.63,1167813
JJ Atkinson,480,402,0,60,119.4,292152
Ismail Sardar,6,17,0,0,35.29,1217806
B Karki,5,24,1,0,20.83,446812
T Natarajan,3,98,9,0,3.06,802575
DR Sams,123,253,8,14,48.62,826901
V Avdylaj,41,166,0,0,24.7,1196292
AM Zepeda,182,356,2,15,51.12,1196284
JA Stiglitz,115,248,1,7,46.37,1196300
T Kazanci,27,81,0,0,33.33,1196286
R Avdylaj,32,129,1,0,24.81,1196290
S Kailath,25,88,1,0,28.41,1196295
S Sadarangani,221,457,6,13,48.36,1229255
H Bhullar,29,66,0,1,43.94,1196288
Busra Uca,58,105,0,1,55.24,1196289
P Sabu,111,179,4,9,62.01,1196299
A Kohli,115,420,16,6,27.38,1190585
H Dhaliwal,10,40,0,0,25.0,1196293
A Nookala,7,50,0,0,14.0,1196287
A Meyenborg,36,136,5,0,26.47,1190583
SB Chamundaiah,9,58,2,0,15.52,1229258
S Jamil,44,67,0,5,65.67,468996
WJ Cope,258,532,17,28,48.5,580986
Muhammad Muneeb,428,360,0,53,118.89,1230633
S Kushretha,70,331,19,3,21.15,1230623
Mamoon Latif,47,49,0,4,95.92,1101859
Wahidullah Usmani,160,146,0,16,109.59,1230635
P Malav,63,498,29,2,12.65,1230624
M Dixit,113,434,17,5,26.04,1198920
Shaheryar Butt,395,324,0,51,121.91,520127
M Cope,21,203,13,1,10.34,1198913
Sazzad Hosen,72,88,0,10,81.82,1230630
V Vijh,710,1184,40,60,59.97,1198915
Saber Zakhil,443,454,11,57,97.58,1156426
Murid Ekrami,75,293,10,10,25.6,1183914
Ashiqullah Said,32,196,12,2,16.33,1101857
J Barker,472,461,0,31,102.39,520142
S Browne,1,9,0,0,11.11,1230622
J Mees,650,529,0,75,122.87,520138
Khalid Ahmadi,230,566,31,22,40.64,1230629
T Whiteman,150,121,0,18,123.97,520557
NSK Mehta,10,196,9,0,5.1,1230631
R Heyns,22,18,0,4,122.22,1230625
H Gori,5,16,1,0,31.25,1198879
K Gilham,25,90,5,1,27.78,1204137
K Mendon,137,165,2,12,83.03,1198880
S Wickramasekara,507,682,22,54,74.34,1156473
A Ashokan,651,888,18,50,73.31,1156472
S Rengarajan,7,31,1,0,22.58,1230638
EB Knowles,60,61,0,6,98.36,1156469
S Pokhriyal,16,23,0,1,69.57,1156481
Hilal Ahmad,61,83,0,2,73.49,1156474
S Davizi,923,712,6,128,129.63,1198883
Sherul Mehta,70,97,0,6,72.16,1230632
S Vats,8,91,0,0,8.79,1230626
A McAuley,327,351,0,28,93.16,469114
N Knights,210,148,0,29,141.89,1046621
M Breban,1,25,3,0,4.0,414816
OJ Webster,149,218,7,19,68.35,520130
G Burrows,461,394,2,46,117.01,1046717
LT Bichard,71,493,30,4,14.4,1153758
C Hartmann,222,204,0,20,108.82,1230028
MJ Ansell,75,444,18,5,16.89,469121
CJ Langford,157,391,19,11,40.15,1156497
JA Burrows,100,428,28,7,23.36,1156495
S Mills,2,4,0,0,50.0,1046623
C Liebenberg,1,13,0,0,7.69,1156493
IDA Damarell,343,316,0,39,108.54,417375
Usman Qadir,62,472,31,4,13.14,348152
M Shumba,419,438,4,36,95.66,951781
M Faraz Akram,126,218,3,10,57.8,1122851
Abdullah Shafique,66,55,0,8,120.0,922941
KA Jamieson,77,318,11,7,24.21,625960
DP Conway,1494,1138,0,172,131.28,379140
KR Mayers,816,671,0,119,121.61,348056
JA Duffy,36,296,12,2,12.16,547766
JR Philippe,161,142,0,16,113.38,1124282
RP Meredith,12,143,9,0,8.39,961713
Nasum Ahmed,87,729,35,6,11.93,348049
FH Allen,1205,749,0,177,160.88,959759
Shoriful Islam,100,905,51,6,11.05,990039
WA Young,367,345,0,45,106.38,547749
K Dasan,9,14,0,0,64.29,1203907
V Saini,876,1394,35,81,62.84,1236048
Sulaiman Ali,168,266,6,16,63.16,1233050
Asif Bevinje,148,304,14,16,48.68,1236047
IA De Silva,628,553,0,74,113.56,1233053
Sami Ullah,148,218,12,17,67.89,1236052
P Mishra,587,1154,33,60,50.87,514770
R Satheesan,1175,893,7,163,131.58,1198946
Bakhtiar Tahiri,170,238,3,18,71.43,1233052
P Florin,36,155,13,2,23.23,1198943
KC D'Souza,596,451,4,69,132.15,1233051
Aftab Kayani,49,131,9,3,37.4,1236053
Asad Ali Rehemtulla,78,355,18,3,21.97,1236058
G Manan,138,80,0,23,172.5,1198940
DV Varghese,106,368,12,2,28.8,1233054
S Periyalwar,377,384,0,37,98.18,1198950
Abdul Shakoor (2),70,60,0,7,116.67,1198937
Rohan Bhavesh Patel,8,75,4,0,10.67,1233056
C Zavoiu,31,84,3,1,36.9,1198938
M Gherasim,9,39,1,0,23.08,1236054
S Nadigotla,466,456,4,49,102.19,1198944
P Masih,2,44,2,0,4.55,1236051
S Vashisht,192,611,28,15,31.42,1198949
Ijaz Hussain,219,595,33,14,36.81,1198948
L Gharasim,8,22,1,0,36.36,1198942
D Nikolov,106,159,1,11,66.67,1203902
A Ahmadhel,15,39,1,1,38.46,1203910
H Ivanov,18,33,0,2,54.55,1203906
N Nankov,4,19,1,0,21.05,1203901
P Danci,14,16,0,2,87.5,1198952
GF Linde,130,382,15,12,34.03,481875
Sohaib Maqsood,294,249,0,31,118.07,43266
Azam Khan,96,70,0,13,137.14,1137262
GJ Snyman,2,12,0,0,16.67,594329
GA Stuurman,3,14,0,0,21.43,481803
Zahid Mahmood,1,25,3,0,4.0,433614
Ishan Kishan,851,669,0,115,127.2,720471
SA Yadav,2661,1589,2,379,167.46,446507
Ayesha Naseem,396,301,0,38,131.56,1214078
CR Woakes,207,757,32,16,27.34,247235
B Fernando,60,388,17,3,15.46,629080
BM Halliday,414,504,8,33,82.14,594654
D Brown,107,706,31,1,15.16,388845
WJ Lubbe,16,10,0,4,160.0,429886
SSB Magala,55,151,7,5,36.42,379776
LB Williams,26,339,21,0,7.67,379887
PWA Mulder,126,225,8,11,56.0,698189
B White,75,700,33,1,10.71,928059
Fazalhaq Farooqi,119,964,57,1,12.34,974175
K Sinclair,5,118,4,0,4.24,1206110
FH Edwards,64,495,23,1,12.93,51782
P Nissanka,1705,1388,0,206,122.84,1028655
KNA Bandara,104,97,0,9,107.22,958691
SD Bahadur,17,103,1,2,16.5,1204925
AJ Hosein,265,1481,58,23,17.89,530812
RJW Topley,72,759,34,1,9.49,461632
GHS Garton,3,29,1,0,10.34,643433
HC Brook,734,497,0,87,147.69,911707
PD Salt,1095,649,0,152,168.72,669365
DC Drakes,37,222,6,3,16.67,906749
LM Jongwe,624,1512,72,60,41.27,541224
Danish Aziz,41,57,2,2,71.93,793411
T Marumani,832,652,0,109,127.61,946507
Arshad Iqbal,3,59,4,0,5.08,1130463
RB Patel,848,788,0,101,107.61,1151337
JN Loftie-Eaton,458,663,15,57,69.08,1071473
F Akankwasa,134,441,20,14,30.39,928119
C Kyewuta,152,672,40,6,22.62,1107651
MD du Preez,67,59,0,6,113.56,577345
J Sebanja,23,180,11,0,12.78,308446
K Waiswa,681,1168,45,69,58.3,928109
Saud Islam,479,440,0,52,108.86,1216277
T Bukenya,15,35,0,1,42.86,928125
Shahab Alam,0,109,5,0,0.0,1090597
K Bhurtel,1349,1205,18,174,111.95,794713
A Dutt,59,321,15,3,18.38,1195672
Aasif Sheikh,1318,1111,0,162,118.63,1058514
JL de Mey,4,44,1,0,9.09,1259261
KS Airee,42,238,16,2,17.65,1072482
S Rana,74,496,27,3,14.92,33757
ME Bouchier,660,544,0,89,121.32,1022077
PP Shaw,0,1,0,0,0.0,1070168
C Karunaratne,377,997,26,27,37.81,623695
CV Varun,7,262,15,0,2.67,1108375
KIC Asalanka,1254,1035,3,139,121.16,784367
RD Gaikwad,675,462,0,89,146.1,1060380
RTM Mendis,26,70,2,1,37.14,629084
D Padikkal,38,38,0,3,100.0,1119026
N Rana,23,30,0,0,76.67,604527
C Sakariya,9,33,1,0,27.27,1131754
S Sandeep Warrier,1,19,0,0,5.26,592735
A Canning,100,644,17,4,15.53,1229015
A Lister,500,396,0,64,126.26,1184173
A Hunter,994,874,0,105,113.73,1229014
G Dempsey,53,336,16,1,15.77,1229017
Mohammad Wasim,107,636,39,6,16.82,1185538
M Theekshana,151,1425,64,6,10.6,1138316
JP Inglis,693,435,0,91,159.31,662235
