player_name,runs,balls,wickets,boundaries,strike_rate,id_cricinfo
S Arachchige,0,26,2,0,0.0,1185332
Abdul-Shakoor Rahimzei,288,352,6,28,81.82,1156489
Sahir Naqash,360,715,41,29,50.35,1183929
GP Meade,335,499,9,28,67.13,807549
Izatullah Dawlatzai,45,241,12,4,18.67,402247
BBJL Perera,283,251,0,35,112.75,467403
Muslim Yar,205,955,51,18,21.47,1183927
Rehman Abdul,54,53,0,3,101.89,1185334
Asad Mohammad,12,116,4,1,10.34,627395
T Modise,62,121,0,3,51.24,1179491
I van Zyl,262,1236,46,5,21.2,546085
SA Wittmann,712,1273,24,76,55.93,546086
B Madimabe,54,137,0,2,39.42,1158366
M Short,87,240,15,3,36.25,546083
B Gaanamong,51,130,6,1,39.23,1158363
T Shadrack,367,1167,35,12,31.45,1179492
V Thari Thari,5,23,1,0,21.74,1158518
M Bosman,3,8,0,0,37.5,1179494
A van Schoor,45,32,0,3,140.62,546084
M Mupachikwa,1067,1212,0,92,88.04,538591
SM Mayers,720,752,2,83,95.74,317144
CS Mugeri-Tiripano,955,823,0,112,116.04,317148
M Musonda,926,817,0,99,113.34,501348
J Nkomo,516,1363,58,30,37.86,638256
R Haiong,69,176,2,1,39.2,1182755
T Granger,25,117,9,2,21.37,638251
A Mazvishaya,39,446,24,0,8.74,538592
AC Mushangwe,23,296,23,0,7.77,922493
P Marange,235,1127,47,19,20.85,317139
L Phiri,61,352,18,3,17.33,1135025
J Sainda,5,25,0,0,20.0,1182757
D Busingye,131,169,1,8,77.51,1179935
NK Bagenda,121,163,0,6,74.23,1119465
M Sheriff,17,60,1,1,28.33,1182750
B Etim,273,600,12,23,45.5,546018
R Samson,66,355,16,1,18.59,1172331
M Desmond,34,218,13,0,15.6,1172353
T Abdulquadri,35,167,9,2,20.96,1172339
A Obulor,62,194,6,4,31.96,1172333
A Igbobie,58,121,0,2,47.93,1172334
B Nwobodo,55,81,0,1,67.9,1172352
S Agazuma,88,113,0,5,77.88,1172329
S Walaza,48,336,7,2,14.29,1180468
NN Saidi,100,356,15,3,28.09,1119739
PZ Kamunya,188,771,46,15,24.38,1119591
